Question_ID,Option_Code,Option_Value_Numeric,Option_Label_EN,Option_Label_HI,Option_Order,Direct_Score_0_100,Confidence_Modifier,Triggers_Verification,Triggers_Follow_Up,Follow_Up_Question_ID,Icon,Is_Active,Notes,Derives_Signal_Key,Derives_Signal_Value,Triggers_Probe,Probe_ID,Is_Other,Option_Category
ADV_D1_004,GENTLE,,Gentle (0.5% to 1% slope),मंद (0.5% से 1% ढलान),2,85,0.85,FALSE,FALSE,,↗️,TRUE,"Good, may need leveling",SLOPE_CLASS,GENTLE,FALSE,,FALSE,HIGH
ADV_D1_004,MODERATE,,Moderate (1% to 2% slope),मध्यम (1% से 2% ढलान),3,60,0.85,FALSE,FALSE,,⬆️,TRUE,Needs terracing/bunds,SLOPE_CLASS,MODERATE,FALSE,,FALSE,MEDIUM
ADV_D1_004,STEEP,,Steep (more than 2% slope),तीव्र (2% से अधिक ढलान),4,30,0.85,FALSE,FALSE,,⏫,TRUE,Difficult for AWD,SLOPE_CLASS,STEEP,FALSE,,FALSE,LOW
ADV_D1_005,NONE,,No waterlogging areas,कोई जलभराव क्षेत्र नहीं,1,100,0.8,FALSE,FALSE,,✅,TRUE,Excellent drainage,WATERLOG_RISK,NONE,FALSE,,FALSE,HIGH
ADV_D1_005,LESS_10,,Less than 10% area,10% से कम क्षेत्र,2,85,0.8,FALSE,FALSE,,🟢,TRUE,Minor waterlogging,WATERLOG_RISK,LOW,FALSE,,FALSE,HIGH
ADV_D1_005,PCT_10_25,,10% to 25% area,10% से 25% क्षेत्र,3,65,0.8,FALSE,FALSE,,🟡,TRUE,Moderate issue,WATERLOG_RISK,MODERATE,FALSE,,FALSE,MEDIUM
ADV_D1_005,PCT_25_50,,25% to 50% area,25% से 50% क्षेत्र,4,40,0.8,FALSE,FALSE,,🟠,TRUE,Significant problem,WATERLOG_RISK,HIGH,FALSE,,FALSE,MEDIUM
ADV_D1_005,MORE_50,,More than 50% area,50% से अधिक क्षेत्र,5,20,0.8,FALSE,FALSE,,🔴,TRUE,Major drainage needed,WATERLOG_RISK,SEVERE,FALSE,,FALSE,LOW
ADV_D1_006,YES,,"Yes, I have soil test report","हाँ, मेरे पास मिट्टी परीक्षण रिपोर्ट है",1,0,1,TRUE,TRUE,ADV_D1_007,✅,TRUE,Triggers lab-value questions,SOIL_TEST_AVAILABLE,YES,FALSE,,FALSE,LOW
ADV_D1_006,NO,,"No, I don't have test","नहीं, मेरे पास परीक्षण नहीं है",2,0,0.6,FALSE,TRUE,ADV_D1_009,❌,TRUE,Uses proxy questions,SOIL_TEST_AVAILABLE,NO,FALSE,,FALSE,LOW
ADV_D1_007,NUMERIC,,Numeric value (0-10 %),संख्यात्मक मान (0-10 %),0,0,0.9,TRUE,FALSE,,,TRUE,SOC from lab report; scored by numeric bounds/desirability,,,FALSE,,TRUE,LOW
ADV_D1_008,NUMERIC,,Numeric value (pH 4.5-9.5),pH संख्यात्मक मान (4.5-9.5),0,0,0.95,TRUE,FALSE,,,TRUE,Soil pH from lab report; scored by numeric logic,,,FALSE,,TRUE,LOW
ADV_D1_009,DARK_BLACK,,Dark black or very dark brown,गहरा काला या बहुत गहरा भूरा,1,85,0.65,FALSE,FALSE,,⬛,TRUE,High SOC indicator,SOC_PROXY,HIGH,FALSE,,FALSE,HIGH
ADV_D1_009,BROWN,,Medium brown,मध्यम भूरा,2,65,0.65,FALSE,FALSE,,🟫,TRUE,Medium SOC,SOC_PROXY,MEDIUM,FALSE,,FALSE,MEDIUM
ADV_D1_009,LIGHT_BROWN,,Light brown or tan,हल्का भूरा या टैन,3,45,0.65,FALSE,FALSE,,🟤,TRUE,Low SOC,SOC_PROXY,LOW,FALSE,,FALSE,MEDIUM
ADV_D1_009,GREY,,Grey or greyish,ग्रे या ग्रे-सा,4,35,0.65,FALSE,FALSE,,⚪,TRUE,Very low SOC,SOC_PROXY,VERY_LOW,FALSE,,FALSE,LOW
ADV_D1_009,RED,,Reddish or laterite,लाल या लेटराइट,5,40,0.65,FALSE,FALSE,,🔴,TRUE,Oxidized profile; usually lower SOC,SOC_PROXY,LOW_OXIDIZED,FALSE,,FALSE,MEDIUM
ADV_D1_010,NO,,Soil not alkaline / pH likely ≤ 8.2,मिट्टी क्षारीय नहीं / pH संभवतः ≤ 8.2,1,80,0.6,FALSE,FALSE,,🧪,TRUE,Better expected ERW benefit,,,FALSE,,FALSE,HIGH
ADV_D1_010,DONT_KNOW,,Don’t know soil alkalinity,मिट्टी की क्षारीयता पता नहीं,2,55,0.6,FALSE,TRUE,ADV_D1_008,❓,TRUE,Recommend soil pH test,,,FALSE,,TRUE,MEDIUM
ADV_D1_010,YES_ALKALINE,,Soil is alkaline / pH likely > 8.2,मिट्टी क्षारीय / pH संभवतः > 8.2,3,30,0.6,FALSE,FALSE,,⚠️,TRUE,ERW benefit may be reduced; careful selection needed,,,FALSE,,FALSE,LOW
ADV_D2_001,OWN_TUBE_ELEC,,Own tubewell with electric pump,बिजली पंप के साथ अपना ट्यूबवेल,1,100,0.95,FALSE,FALSE,,⚡,TRUE,"Full control, low cost",IRRIGATION_SOURCE,OWN_TUBE_ELECTRIC,FALSE,,FALSE,HIGH
ADV_D2_001,OWN_TUBE_DIESEL,,Own tubewell with diesel pump,डीजल पंप के साथ अपना ट्यूबवेल,2,85,0.95,FALSE,FALSE,,⛽,TRUE,"Full control, higher cost",IRRIGATION_SOURCE,OWN_TUBE_DIESEL,FALSE,,FALSE,HIGH
ADV_D2_001,SHARED_TUBE,,Shared tubewell (with other farmers),साझा ट्यूबवेल (अन्य किसानों के साथ),3,70,0.9,FALSE,FALSE,,👥,TRUE,"Some control, coordination needed",IRRIGATION_SOURCE,SHARED_TUBEWELL,FALSE,,FALSE,MEDIUM
ADV_D2_001,CANAL,,Canal irrigation,नहर सिंचाई,4,45,0.85,FALSE,FALSE,,🌊,TRUE,Limited control,IRRIGATION_SOURCE,CANAL,FALSE,,FALSE,MEDIUM
ADV_D2_001,RAINFED,,Rainfed only (no irrigation),केवल वर्षा आधारित (कोई सिंचाई नहीं),5,10,0.95,FALSE,FALSE,,🌧️,TRUE,AWD not applicable,IRRIGATION_SOURCE,RAINFED,FALSE,,FALSE,LOW
ADV_D2_002,FULL_CONTROL,,I control completely (irrigate whenever I want),मैं पूरी तरह नियंत्रित करता/करती हूँ (जब चाहूँ सिंचाई),1,100,0.95,FALSE,FALSE,,💯,TRUE,Ideal for AWD,IRRIGATION_CONTROL,FULL_CONTROL,FALSE,,FALSE,HIGH
ADV_D2_002,SHARED_SCHEDULE,,Shared schedule (coordinate with 2-5 farmers),साझा कार्यक्रम (2-5 किसानों के साथ समन्वय),2,75,0.9,FALSE,FALSE,,🤝,TRUE,"Good, needs coordination",IRRIGATION_CONTROL,SHARED_SCHEDULE,FALSE,,FALSE,HIGH
ADV_D2_002,CANAL_SCHEDULE,,Fixed canal schedule (no flexibility),निश्चित नहर कार्यक्रम (कोई लचीलापन नहीं),3,40,0.85,FALSE,FALSE,,📅,TRUE,Limited AWD potential,IRRIGATION_CONTROL,CANAL_SCHEDULE,FALSE,,FALSE,MEDIUM
ADV_D2_002,NO_CONTROL,,No control (dependent on others/rain),कोई नियंत्रण नहीं (दूसरों/बारिश पर निर्भर),4,15,0.9,FALSE,FALSE,,❌,TRUE,AWD not feasible,IRRIGATION_CONTROL,NO_CONTROL,FALSE,,FALSE,LOW
ADV_D2_003,EXCELLENT,,"Excellent (no leaks, strong, well-maintained)","उत्कृष्ट (कोई रिसाव नहीं, मजबूत, अच्छी तरह से बनाए रखा)",1,100,0.9,TRUE,FALSE,,💯,TRUE,Perfect for water control,BUND_CONDITION,EXCELLENT,FALSE,,FALSE,HIGH
ADV_D2_003,GOOD,,"Good (minor cracks, mostly holds water)","अच्छा (मामूली दरारें, ज्यादातर पानी रोकता है)",2,85,0.85,FALSE,FALSE,,👍,TRUE,Adequate,BUND_CONDITION,GOOD,FALSE,,FALSE,HIGH
ADV_D2_003,MINOR_LEAKS,,Some leaks (loses water but manageable),कुछ रिसाव (पानी खोता है लेकिन प्रबंधनीय),3,60,0.8,FALSE,FALSE,,🔧,TRUE,Needs minor repair,BUND_CONDITION,MINOR_LEAKS,FALSE,,FALSE,MEDIUM
ADV_D2_003,POOR,,"Poor (major leaks, rat holes, broken)","खराब (बड़े रिसाव, चूहे के छेद, टूटे हुए)",4,30,0.85,TRUE,FALSE,,⚠️,TRUE,Needs major repair,BUND_CONDITION,POOR,FALSE,,FALSE,LOW
ADV_D2_003,NO_BUNDS,,No bunds or very low,कोई मेड़ नहीं या बहुत कम,5,10,0.9,TRUE,FALSE,,❌,TRUE,Cannot retain water,BUND_CONDITION,NONE,FALSE,,FALSE,LOW
ADV_D2_004,LASER_LEVELED,,Laser leveled (professionally done),लेजर लेवल (पेशेवर रूप से किया गया),1,100,0.95,TRUE,FALSE,,📐,TRUE,Perfect uniformity,LEVELING_STATUS,LASER,FALSE,,FALSE,HIGH
ADV_D2_004,WELL_LEVELED,,Well leveled (manual but uniform),अच्छी तरह समतल (मैनुअल लेकिन एक समान),2,85,0.85,FALSE,FALSE,,✅,TRUE,Good enough,LEVELING_STATUS,GOOD,FALSE,,FALSE,HIGH
ADV_D2_004,MODERATE,,Moderately leveled (some low/high spots),मध्यम रूप से समतल (कुछ नीचे/ऊँचे स्थान),3,65,0.8,FALSE,FALSE,,〰️,TRUE,Can improve,LEVELING_STATUS,MODERATE,FALSE,,FALSE,MEDIUM
ADV_D2_004,UNEVEN,,Uneven (significant variation),असमान (महत्वपूर्ण भिन्नता),4,40,0.85,FALSE,FALSE,,⚠️,TRUE,Needs leveling,LEVELING_STATUS,POOR,FALSE,,FALSE,MEDIUM
ADV_D2_005,YES,,"Yes, I can measure water depth","हाँ, मैं पानी की गहराई माप सकता/सकती हूँ",1,100,0.9,FALSE,FALSE,,✅,TRUE,Essential for AWD,MONITORING_CAPACITY,YES,FALSE,,FALSE,HIGH
ADV_D2_005,NO,,"No, I cannot measure yet","नहीं, अभी माप नहीं सकता/सकती",2,50,0.8,FALSE,FALSE,,❌,TRUE,Needs setup/support,MONITORING_CAPACITY,NO,FALSE,,FALSE,MEDIUM
ADV_D2_005,NEED_TRAINING,,"No, but can learn if trained","नहीं, लेकिन प्रशिक्षण मिले तो सीख सकता/सकती हूँ",3,80,0.85,FALSE,FALSE,,📚,TRUE,Trainable and feasible,MONITORING_CAPACITY,NEED_TRAINING,FALSE,,FALSE,HIGH
ADV_D2_006,ELECTRIC_GRID,,Electric (grid connection),बिजली (ग्रिड कनेक्शन),1,85,0.9,FALSE,FALSE,,🔌,TRUE,Cheapest per hour,PUMP_POWER_TYPE,ELECTRIC,FALSE,,FALSE,HIGH
ADV_D2_006,DIESEL,,Diesel engine,डीजल इंजन,2,70,0.9,FALSE,FALSE,,⛽,TRUE,More flexible,PUMP_POWER_TYPE,DIESEL,FALSE,,FALSE,MEDIUM
ADV_D2_006,SOLAR,,Solar powered,सौर ऊर्जा से संचालित,3,90,0.9,FALSE,FALSE,,☀️,TRUE,"Clean, low recurring cost",PUMP_POWER_TYPE,SOLAR,FALSE,,FALSE,HIGH
ADV_D2_006,NOT_APPLICABLE,,Not applicable (rainfed),लागू नहीं (वर्षा आधारित),4,50,0.95,FALSE,FALSE,,➖,TRUE,Neutral score for non-irrigated case,PUMP_POWER_TYPE,NONE,FALSE,,FALSE,MEDIUM
ADV_D2_007,YES_WITHIN_10,,Source within 10 km,10 किमी के भीतर स्रोत,1,95,0.7,FALSE,FALSE,,⛏️,TRUE,Excellent logistics for ERW,ERW_SOURCE_DISTANCE,NEAR,FALSE,,FALSE,HIGH
ADV_D2_007,YES_10_50,,Source within 10-50 km,10-50 किमी के भीतर स्रोत,2,75,0.7,FALSE,FALSE,,🚚,TRUE,Feasible with transport planning,ERW_SOURCE_DISTANCE,MID,FALSE,,FALSE,HIGH
ADV_D2_007,NO,,No known source within 50 km,50 किमी के भीतर स्रोत ज्ञात नहीं,3,15,0.7,FALSE,FALSE,,🚫,TRUE,ERW unlikely without supply chain,ERW_SOURCE_DISTANCE,FAR_OR_NONE,FALSE,,FALSE,LOW
ADV_D2_007,DONT_KNOW,,Not sure about nearby source,निकट स्रोत की जानकारी नहीं,4,40,0.7,FALSE,TRUE,ADV_D2_007_FU_SOURCECHECK,❓,TRUE,Trigger follow-up: check crusher/quarry/cement list,ERW_SOURCE_DISTANCE,UNKNOWN,TRUE,ADVPROBE_064,TRUE,MEDIUM
ADV_D2_008,YES_WITHIN_5,,Biochar unit available within 5 km,5 किमी के भीतर बायोचार यूनिट उपलब्ध,1,95,0.7,FALSE,FALSE,,🏭,TRUE,Very strong logistics for regular supply,BIO_PYROLYSIS_ACCESS,NEAR,FALSE,,FALSE,HIGH
ADV_D2_008,YES_5_20,,Biochar unit available within 5-20 km,5-20 किमी के भीतर बायोचार यूनिट उपलब्ध,2,75,0.7,FALSE,FALSE,,🚚,TRUE,Moderate transport cost,BIO_PYROLYSIS_ACCESS,MID,FALSE,,FALSE,HIGH
ADV_D2_008,NO,,No unit/supplier access within 20 km,20 किमी के भीतर यूनिट/सप्लायर नहीं,3,20,0.7,FALSE,FALSE,,🚫,TRUE,Needs external supply chain,BIO_PYROLYSIS_ACCESS,NO,FALSE,,FALSE,LOW
ADV_D2_008,DONT_KNOW,,Not sure about local biochar availability,स्थानीय बायोचार उपलब्धता पता नहीं,4,40,0.7,FALSE,TRUE,ADV_D2_008_FU_SUPPLIER,❓,TRUE,Trigger follow-up: identify nearest supplier,BIO_PYROLYSIS_ACCESS,UNKNOWN,TRUE,ADVPROBE_070,TRUE,MEDIUM
ADV_D2_009,BUY,,Buy biochar directly,सीधे बायोचार खरीदना,1,70,0.7,FALSE,FALSE,,🛒,TRUE,Feasible if supply exists and price works,BIO_SOURCING_MODE,BUY,FALSE,,FALSE,MEDIUM
ADV_D2_009,LOCAL_UNIT,,Produce via local unit (you supply feedstock or buy),स्थानीय यूनिट से बनवाना (फीडस्टॉक देना/खरीदना),2,85,0.7,FALSE,FALSE,,🏭,TRUE,Often best balance of quality + scale,BIO_SOURCING_MODE,LOCAL_UNIT,FALSE,,FALSE,HIGH
ADV_D2_009,ON_FARM,,On-farm small kiln method,खेत पर छोटा भट्ठा/किल्न विधि,3,55,0.7,TRUE,FALSE,,🧱,TRUE,Needs training + safety + emissions control,BIO_SOURCING_MODE,ON_FARM,FALSE,,FALSE,MEDIUM
ADV_D2_009,UNSURE,,Not sure yet,अभी निश्चित नहीं,4,50,0.7,FALSE,TRUE,ADV_D2_009_FU_OPTIONS,❓,TRUE,Trigger follow-up: compare 3 sourcing modes,BIO_SOURCING_MODE,UNSURE,TRUE,ADVPROBE_071,FALSE,MEDIUM
ADV_D2_010,NUMERIC,,Numeric value (0-100 km),संख्यात्मक मान (0-100 किमी),0,0,0.9,FALSE,FALSE,,,TRUE,Distance to nearest input/output market; scored by formula,,,FALSE,,TRUE,LOW
ADV_D3_001,NUMERIC,,Numeric value (0-100 km),संख्यात्मक मान (0-100 किमी),0,0,0.9,FALSE,FALSE,,,TRUE,Distance to KVK/extension center; scored by distance formula,,,FALSE,,TRUE,LOW
ADV_D3_002,FREQUENT,,Frequent (more than 5 times),बार-बार (5 बार से अधिक),1,95,0.9,FALSE,FALSE,,📞,TRUE,Strong extension support,EXTENSION_CONTACT,STRONG,FALSE,,FALSE,HIGH
ADV_D3_002,MODERATE,,Moderate (2 to 5 times),मध्यम (2 से 5 बार),2,75,0.9,FALSE,FALSE,,📱,TRUE,Regular contact,EXTENSION_CONTACT,MODERATE,FALSE,,FALSE,HIGH
ADV_D3_002,RARE,,Rare (only 1 time),दुर्लभ (केवल 1 बार),3,50,0.9,FALSE,FALSE,,📧,TRUE,Weak support,EXTENSION_CONTACT,WEAK,FALSE,,FALSE,MEDIUM
ADV_D3_002,NONE,,None (no contact),कोई नहीं (कोई संपर्क नहीं),4,25,0.9,FALSE,FALSE,,❌,TRUE,No extension access,EXTENSION_CONTACT,NONE,FALSE,,FALSE,LOW
ADV_D3_003,COMMON,,Common (more than 30% farmers),सामान्य (30% से अधिक किसान),1,100,0.85,FALSE,FALSE,,👥,TRUE,Strong peer learning for AWD,AWD_PEER_LEARNING,STRONG,FALSE,,FALSE,HIGH
ADV_D3_003,SOME,,Some (10% to 30% farmers),कुछ (10% से 30% किसान),2,75,0.85,FALSE,FALSE,,👤,TRUE,Growing adoption,AWD_PEER_LEARNING,MODERATE,FALSE,,FALSE,HIGH
ADV_D3_003,FEW,,Few (less than 10% farmers),कुछ (10% से कम किसान),3,50,0.85,FALSE,FALSE,,🚶,TRUE,Early stage adoption,AWD_PEER_LEARNING,WEAK,FALSE,,FALSE,MEDIUM
ADV_D3_003,NONE,,None (I would be first),कोई नहीं (मैं पहला/पहली होऊँगा/होऊँगी),4,30,0.85,FALSE,FALSE,,🌟,TRUE,Pioneer - higher behavior risk,AWD_PEER_LEARNING,PIONEER,FALSE,,FALSE,LOW
ADV_D3_004,YES_MANY,,"Yes, I know 5 or more","हाँ, मैं 5 या अधिक किसानों को जानता/जानती हूँ",1,90,0.85,FALSE,FALSE,,👥,TRUE,Strong peer network,,,FALSE,,FALSE,HIGH
ADV_D3_004,YES_FEW,,"Yes, I know 1-4 farmers","हाँ, मैं 1-4 किसानों को जानता/जानती हूँ",2,70,0.85,FALSE,FALSE,,👤,TRUE,Some peer support,,,FALSE,,FALSE,MEDIUM
ADV_D3_004,NO,,"No, I don't know anyone","नहीं, मैं किसी को नहीं जानता/जानती",3,40,0.85,FALSE,FALSE,,❌,TRUE,Limited peer learning,,,FALSE,,FALSE,MEDIUM
ADV_D3_005,WELL_KNOWN,,Well known (many farmers ask my advice),अच्छी तरह से जाना जाता है (कई किसान सलाह लेते हैं),1,90,0.8,FALSE,FALSE,,⭐,TRUE,Opinion leader,,,FALSE,,FALSE,HIGH
ADV_D3_005,KNOWN,,Known (some farmers know me as progressive),जाना जाता है (कुछ किसान प्रगतिशील मानते हैं),2,75,0.8,FALSE,FALSE,,✅,TRUE,Respected,,,FALSE,,FALSE,HIGH
ADV_D3_005,AVERAGE,,Average (not particularly known for innovation),औसत (नवाचार के लिए विशेष रूप से नहीं जाना जाता),3,55,0.8,FALSE,FALSE,,➖,TRUE,Neutral,,,FALSE,,FALSE,MEDIUM
ADV_D3_005,NOT_KNOWN,,Not known / traditional profile,नहीं जाना जाता / पारंपरिक प्रोफाइल,4,40,0.8,FALSE,FALSE,,⬇️,TRUE,Conservative adoption profile,,,FALSE,,FALSE,MEDIUM
ADV_D4_001,OWNED_CLEAR,,Owned with clear title (no dispute),स्पष्ट शीर्षक के साथ स्वामित्व (कोई विवाद नहीं),1,100,0.95,TRUE,FALSE,,✅,TRUE,Best for carbon projects,LAND_TENURE,OWNED_CLEAR,FALSE,,FALSE,HIGH
ADV_D4_001,OWNED_DISPUTED,,Owned but some dispute/unclear title,स्वामित्व लेकिन कुछ विवाद/अस्पष्ट शीर्षक,2,60,0.9,TRUE,TRUE,ADV_D4_002,⚠️,TRUE,Needs document/legal resolution,LAND_TENURE,OWNED_DISPUTED,FALSE,,FALSE,MEDIUM
ADV_D4_001,LEASED_LONG,,Leased (5+ years remaining),पट्टे पर (5+ वर्ष शेष),3,85,0.9,TRUE,FALSE,,📜,TRUE,Acceptable for carbon,LAND_TENURE,LEASED_5PLUS,FALSE,,FALSE,HIGH
ADV_D4_001,LEASED_SHORT,,Leased (less than 5 years),पट्टे पर (5 वर्ष से कम),4,40,0.85,TRUE,FALSE,,⏱️,TRUE,Too short for carbon projects,LAND_TENURE,LEASED_SHORT,FALSE,,FALSE,MEDIUM
ADV_D4_001,SHARECROP,,Sharecropping/tenant farming,बटाई/किरायेदार खेती,5,20,0.9,TRUE,FALSE,,❌,TRUE,Typically not eligible for carbon MRV ownership requirements,LAND_TENURE,SHARECROP,FALSE,,FALSE,LOW
ADV_D4_002,YES,,"Yes, I have all documents","हाँ, मेरे पास सभी दस्तावेज हैं",1,100,0.95,TRUE,FALSE,,📋,TRUE,Ready for verification,LAND_DOCUMENTS,YES,FALSE,,FALSE,HIGH
ADV_D4_002,NO,,"No, I don't have documents","नहीं, मेरे पास दस्तावेज नहीं हैं",2,30,0.9,TRUE,FALSE,,❌,TRUE,Must obtain documents,LAND_DOCUMENTS,NO,FALSE,,FALSE,LOW
ADV_D4_003,CONTINUOUS_FLOOD,,Continuous flooding (keep water 5-10 cm always),निरंतर जलभराव (हमेशा 5-10 सेमी पानी),1,100,0.95,FALSE,FALSE,,🌊,TRUE,Best baseline for AWD additionality,BASELINE_PRACTICE,CONTINUOUS_FLOOD,FALSE,,FALSE,HIGH
ADV_D4_003,INTERMITTENT,,Intermittent (flood-dry cycles but not systematic AWD),रुक-रुक कर (बाढ़-सूखे चक्र लेकिन व्यवस्थित AWD नहीं),2,75,0.9,FALSE,FALSE,,〰️,TRUE,Some water saving already,BASELINE_PRACTICE,INTERMITTENT,FALSE,,FALSE,HIGH
ADV_D4_003,AWD_ALREADY,,Already practicing systematic AWD,पहले से व्यवस्थित AWD कर रहे हैं,3,30,0.95,FALSE,FALSE,,❌,TRUE,Low/no additionality for AWD carbon credits,BASELINE_PRACTICE,AWD_ALREADY,FALSE,,FALSE,LOW
ADV_D4_003,AEROBIC,,Aerobic rice (no flooding),एरोबिक चावल (कोई जलभराव नहीं),4,20,0.95,FALSE,FALSE,,🌱,TRUE,Different pathway; AWD not relevant,BASELINE_PRACTICE,AEROBIC,FALSE,,FALSE,LOW
ADV_D4_003,RAINFED,,Rainfed upland rice,वर्षा आधारित ऊँची जमीन का चावल,5,10,0.95,FALSE,FALSE,,🌧️,TRUE,Not applicable for AWD,BASELINE_PRACTICE,RAINFED,FALSE,,FALSE,LOW
ADV_D4_004,NUMERIC,,Numeric value (0-50 years),संख्यात्मक मान (0-50 वर्ष),0,0,0.95,FALSE,FALSE,,,TRUE,Baseline practice duration; additionality logic uses numeric value,,,FALSE,,TRUE,LOW
ADV_D4_005,YES,,"Yes, there are restrictions","हाँ, प्रतिबंध हैं",1,30,0.9,FALSE,TRUE,ADV_D4_005_FU_LEGAL,⚠️,TRUE,Needs clarification on rule/mandate,,,FALSE,,FALSE,LOW
ADV_D4_005,NO,,No restrictions,कोई प्रतिबंध नहीं,2,100,0.9,FALSE,FALSE,,✅,TRUE,Free to change practice,,,FALSE,,FALSE,HIGH
ADV_D4_005,UNSURE,,Not sure / don't know,निश्चित नहीं / पता नहीं,3,60,0.75,FALSE,TRUE,ADV_D4_005_FU_LEGALCHECK,❓,TRUE,Needs investigation,,,FALSE,,FALSE,MEDIUM
ADV_D5_001,NUMERIC,,Numeric value (0-15 t/ha),संख्यात्मक मान (0-15 टन/हेक्टेयर),0,0,0.9,FALSE,FALSE,,,TRUE,Baseline yield for risk assessment,,,FALSE,,TRUE,LOW
ADV_D5_002,NUMERIC,,Numeric value (0-100000 INR/ha),संख्यात्मक मान (0-100000 रु/हेक्टेयर),0,0,0.85,FALSE,FALSE,,,TRUE,Baseline irrigation cost for savings calculation,,,FALSE,,TRUE,LOW
ADV_D5_003,FAMILY_ADEQUATE,,Adequate family labor available,पर्याप्त पारिवारिक श्रम उपलब्ध,1,95,0.9,FALSE,FALSE,,👨‍👩‍👦,TRUE,Can manage frequent monitoring,LABOR_AVAILABILITY,ADEQUATE,FALSE,,FALSE,HIGH
ADV_D5_003,FAMILY_SOME,,"Some family labor, but limited","कुछ पारिवारिक श्रम, लेकिन सीमित",2,75,0.85,FALSE,FALSE,,👥,TRUE,May need planning,LABOR_AVAILABILITY,SOME,FALSE,,FALSE,HIGH
ADV_D5_003,NEED_HIRE,,Need to hire labor,श्रम किराए पर लेना होगा,3,55,0.85,FALSE,FALSE,,💼,TRUE,Higher operating cost,LABOR_AVAILABILITY,NEED_HIRE,FALSE,,FALSE,MEDIUM
ADV_D5_003,DIFFICULT,,Difficult to arrange labor,श्रम की व्यवस्था करना मुश्किल,4,35,0.85,FALSE,FALSE,,⚠️,TRUE,Major operational constraint,LABOR_AVAILABILITY,DIFFICULT,FALSE,,FALSE,LOW
