Rule_ID,Is_Active,Priority,Dimension_ID,When_Question_ID,When_Operator,When_Value,When_Numeric_Min,When_Numeric_Max,Then_Signal_Key,Then_Signal_Value,Then_Signal_Score,Confidence_0_1,Composite_Logic,Notes
ADVR_D1_016,TRUE,8,D1,ADV_D1_009,EQUALS,LIGHT_BROWN,,,SOC_PROXY,LOW,0.35,0.65,,Proxy SOC low (soil color)
ADVR_D1_024,TRUE,8,D1,ADV_D1_009,EQUALS,GREY,,,SOC_PROXY,VERY_LOW,0.25,0.65,,Proxy SOC very low
ADVR_D1_025,TRUE,8,D1,ADV_D1_009,EQUALS,RED,,,SOC_PROXY,LOW_OXIDIZED,0.3,0.65,,Proxy low SOC (oxidized/lateritic)
ADVR_D1_017,TRUE,9,D1,ADV_D1_004,EQUALS,FLAT,,,SLOPE_CLASS,FLAT,1,0.9,,Perfect for water management
ADVR_D1_018,TRUE,9,D1,ADV_D1_004,EQUALS,GENTLE,,,SLOPE_CLASS,GENTLE,0.85,0.9,,Minor leveling may help
ADVR_D1_026,TRUE,9,D1,ADV_D1_004,EQUALS,MODERATE,,,SLOPE_CLASS,MODERATE,0.6,0.9,,Moderate slope—bunding/leveling needed
ADVR_D1_019,TRUE,9,D1,ADV_D1_004,EQUALS,STEEP,,,SLOPE_CLASS,STEEP,0.3,0.9,,Needs terracing for AWD
ADVR_D1_020,TRUE,8,D1,ADV_D1_005,EQUALS,NONE,,,WATERLOG_RISK,NONE,1,0.85,,No waterlogging issues
ADVR_D1_027,TRUE,8,D1,ADV_D1_005,EQUALS,LESS_10,,,WATERLOG_RISK,LOW,0.85,0.85,,Minor waterlogging
ADVR_D1_028,TRUE,8,D1,ADV_D1_005,EQUALS,PCT_10_25,,,WATERLOG_RISK,MODERATE,0.65,0.85,,Moderate waterlogging
ADVR_D1_029,TRUE,8,D1,ADV_D1_005,EQUALS,PCT_25_50,,,WATERLOG_RISK,HIGH,0.4,0.85,,Significant waterlogging
ADVR_D1_021,TRUE,8,D1,ADV_D1_005,EQUALS,MORE_50,,,WATERLOG_RISK,SEVERE,0.2,0.85,,Major drainage problem
ADVR_D1_030,TRUE,10,D1,ADV_D1_001,EQUALS,RICE,,,CROP_SELECTED,RICE,1,0.95,,Rice selected (AWD applicable)
ADVR_D1_031,TRUE,10,D1,ADV_D1_001,EQUALS,OTHERS,,,CROP_SELECTED,OTHERS,0,0.95,,Non-rice crop selected (AWD not applicable)
ADVR_D2_001,TRUE,10,D2,ADV_D2_001,EQUALS,OWN_TUBE_ELEC,,,IRRIGATION_SOURCE,OWN_TUBE_ELECTRIC,1,0.95,,Best control + low cost
ADVR_D2_002,TRUE,10,D2,ADV_D2_001,EQUALS,OWN_TUBE_DIESEL,,,IRRIGATION_SOURCE,OWN_TUBE_DIESEL,0.85,0.95,,"Full control, higher cost"
ADVR_D2_016,TRUE,10,D2,ADV_D2_001,EQUALS,SHARED_TUBE,,,IRRIGATION_SOURCE,SHARED_TUBEWELL,0.7,0.9,,Shared tubewell—coordination risk
ADVR_D2_003,TRUE,10,D2,ADV_D2_001,EQUALS,CANAL,,,IRRIGATION_SOURCE,CANAL,0.45,0.9,,Limited AWD feasibility
ADVR_D2_004,TRUE,10,D2,ADV_D2_001,EQUALS,RAINFED,,,IRRIGATION_SOURCE,RAINFED,0.1,0.95,,AWD not applicable
ADVR_D2_005,TRUE,10,D2,ADV_D2_002,EQUALS,FULL_CONTROL,,,IRRIGATION_CONTROL,FULL_CONTROL,1,0.95,,Critical for AWD success
ADVR_D2_006,TRUE,10,D2,ADV_D2_002,EQUALS,SHARED_SCHEDULE,,,IRRIGATION_CONTROL,SHARED_SCHEDULE,0.75,0.9,,Coordination needed
ADVR_D2_007,TRUE,10,D2,ADV_D2_002,EQUALS,CANAL_SCHEDULE,,,IRRIGATION_CONTROL,CANAL_SCHEDULE,0.4,0.9,,AWD difficult
ADVR_D2_008,TRUE,10,D2,ADV_D2_002,EQUALS,NO_CONTROL,,,IRRIGATION_CONTROL,NO_CONTROL,0.15,0.95,,AWD not feasible
ADVR_D2_009,TRUE,9,D2,ADV_D2_003,EQUALS,EXCELLENT,,,BUND_CONDITION,EXCELLENT,1,0.95,,Perfect water retention
ADVR_D2_017,TRUE,9,D2,ADV_D2_003,EQUALS,GOOD,,,BUND_CONDITION,GOOD,0.85,0.9,,Adequate bund condition
ADVR_D2_018,TRUE,9,D2,ADV_D2_003,EQUALS,MINOR_LEAKS,,,BUND_CONDITION,MINOR_LEAKS,0.6,0.85,,Repairable; some loss
ADVR_D2_010,TRUE,9,D2,ADV_D2_003,EQUALS,POOR,,,BUND_CONDITION,POOR,0.3,0.9,,Needs major repair
ADVR_D2_011,TRUE,9,D2,ADV_D2_003,EQUALS,NO_BUNDS,,,BUND_CONDITION,NONE,0.1,0.95,,Cannot retain water
ADVR_D2_012,TRUE,8,D2,ADV_D2_004,EQUALS,LASER_LEVELED,,,LEVELING_STATUS,LASER,1,0.95,,Perfect uniformity
ADVR_D2_019,TRUE,8,D2,ADV_D2_004,EQUALS,WELL_LEVELED,,,LEVELING_STATUS,GOOD,0.85,0.9,,Good enough leveling
ADVR_D2_020,TRUE,8,D2,ADV_D2_004,EQUALS,MODERATE,,,LEVELING_STATUS,MODERATE,0.65,0.85,,Moderate leveling
ADVR_D2_013,TRUE,8,D2,ADV_D2_004,EQUALS,UNEVEN,,,LEVELING_STATUS,POOR,0.4,0.9,,Needs leveling investment
ADVR_D2_014,TRUE,9,D2,ADV_D2_005,EQUALS,YES,,,MONITORING_CAPACITY,YES,1,0.9,,Can implement AWD properly
ADVR_D2_021,TRUE,9,D2,ADV_D2_005,EQUALS,NEED_TRAINING,,,MONITORING_CAPACITY,NEED_TRAINING,0.8,0.85,,Trainable monitoring capacity
ADVR_D2_015,TRUE,9,D2,ADV_D2_005,EQUALS,NO,,,MONITORING_CAPACITY,NO,0.4,0.85,,Major training needed
ADVR_D3_001,TRUE,7,D3,ADV_D3_001,LESS_EQUAL,,10,,KVK_ACCESS,NEAR,0.9,0.85,,Strong extension access
ADVR_D3_007,TRUE,7,D3,ADV_D3_001,BETWEEN,,10,50,KVK_ACCESS,MID,0.65,0.85,,Moderate extension access
ADVR_D3_002,TRUE,7,D3,ADV_D3_001,GREATER,,50,,KVK_ACCESS,FAR,0.4,0.85,,Weak extension access
ADVR_D3_003,TRUE,7,D3,ADV_D3_002,EQUALS,FREQUENT,,,EXTENSION_CONTACT,STRONG,0.95,0.85,,Active extension support
ADVR_D3_008,TRUE,7,D3,ADV_D3_002,EQUALS,MODERATE,,,EXTENSION_CONTACT,MODERATE,0.75,0.85,,Some extension support
ADVR_D3_009,TRUE,7,D3,ADV_D3_002,EQUALS,RARE,,,EXTENSION_CONTACT,WEAK,0.5,0.85,,Weak extension support
ADVR_D3_004,TRUE,7,D3,ADV_D3_002,EQUALS,NONE,,,EXTENSION_CONTACT,NONE,0.25,0.85,,No extension access
ADVR_D3_005,TRUE,8,D3,ADV_D3_003,EQUALS,COMMON,,,AWD_PEER_LEARNING,STRONG,1,0.85,,Strong peer network
ADVR_D3_010,TRUE,8,D3,ADV_D3_003,EQUALS,SOME,,,AWD_PEER_LEARNING,MODERATE,0.75,0.85,,Growing adoption
ADVR_D3_011,TRUE,8,D3,ADV_D3_003,EQUALS,FEW,,,AWD_PEER_LEARNING,WEAK,0.5,0.85,,Early stage adoption
ADVR_D3_006,TRUE,8,D3,ADV_D3_003,EQUALS,NONE,,,AWD_PEER_LEARNING,PIONEER,0.3,0.85,,First adopter - higher risk
ADVR_D4_001,TRUE,10,D4,ADV_D4_001,EQUALS,OWNED_CLEAR,,,LAND_TENURE,OWNED_CLEAR,1,0.95,,Eligible for carbon
ADVR_D4_015,TRUE,10,D4,ADV_D4_001,EQUALS,OWNED_DISPUTED,,,LAND_TENURE,OWNED_DISPUTED,0.6,0.85,,Ownership dispute—verification needed
ADVR_D4_002,TRUE,10,D4,ADV_D4_001,EQUALS,LEASED_LONG,,,LAND_TENURE,LEASED_5PLUS,0.85,0.9,,Acceptable for carbon
ADVR_D4_014,TRUE,10,D4,ADV_D4_001,EQUALS,LEASED_SHORT,,,LAND_TENURE,LEASED_SHORT,0.4,0.9,,Short lease—weak permanence
ADVR_D4_003,TRUE,10,D4,ADV_D4_001,EQUALS,SHARECROP,,,LAND_TENURE,SHARECROP,0.2,0.95,,Not eligible for carbon
ADVR_D4_004,TRUE,10,D4,ADV_D4_002,EQUALS,YES,,,LAND_DOCUMENTS,YES,1,0.95,,Ready for verification
ADVR_D4_005,TRUE,10,D4,ADV_D4_002,EQUALS,NO,,,LAND_DOCUMENTS,NO,0.3,0.95,,Must obtain documents
ADVR_D4_006,TRUE,10,D4,ADV_D4_003,EQUALS,CONTINUOUS_FLOOD,,,BASELINE_PRACTICE,CONTINUOUS_FLOOD,1,0.95,,AWD baseline eligible
ADVR_D4_016,TRUE,10,D4,ADV_D4_003,EQUALS,INTERMITTENT,,,BASELINE_PRACTICE,INTERMITTENT,0.75,0.9,,Partial baseline—eligibility depends on definition
ADVR_D4_007,TRUE,10,D4,ADV_D4_003,EQUALS,AWD_ALREADY,,,BASELINE_PRACTICE,AWD_ALREADY,0.3,0.95,,No additionality for AWD credits
ADVR_D4_008,TRUE,10,D4,ADV_D4_003,EQUALS,AEROBIC,,,BASELINE_PRACTICE,AEROBIC,0.2,0.95,,AWD not applicable
ADVR_D4_009,TRUE,10,D4,ADV_D4_003,EQUALS,RAINFED,,,BASELINE_PRACTICE,RAINFED,0.1,0.95,,AWD not applicable
ADVR_D4_010,TRUE,9,D4,ADV_D4_004,GREATER_EQUAL,,3,,BASELINE_YEARS,ESTABLISHED,1,0.95,,Baseline established
ADVR_D4_011,TRUE,9,D4,ADV_D4_004,LESS,,3,,BASELINE_YEARS,SHORT,0.6,0.9,,Baseline unclear/short
ADVR_D4_012,TRUE,9,D4,ADV_D4_006,EQUALS,YES,,,COMMITMENT_5YR,YES,1,0.95,,Meets AWD carbon requirement
ADVR_D4_017,TRUE,9,D4,ADV_D4_006,EQUALS,UNSURE,,,COMMITMENT_5YR,UNSURE,0.6,0.85,,Conditional commitment—counseling needed
ADVR_D4_013,TRUE,9,D4,ADV_D4_006,EQUALS,NO,,,COMMITMENT_5YR,NO,0.3,0.95,,Not eligible for AWD carbon
ADVR_D4_018,TRUE,9,D4,ADV_D4_007,EQUALS,YES,,,BIO_NO_OPEN_BURNING_COMMIT,YES,1,0.9,,Biochar integrity commitment
ADVR_D4_019,TRUE,9,D4,ADV_D4_007,EQUALS,NO,,,BIO_NO_OPEN_BURNING_COMMIT,NO,1,0.9,,Biochar integrity risk
ADVR_D4_020,TRUE,10,D4,ADV_D4_008,EQUALS,YES,,,ERW_TRACEABILITY_WILLINGNESS,YES,1,0.9,,ERW MRV ready
ADVR_D4_021,TRUE,10,D4,ADV_D4_008,EQUALS,YES_WITH_HELP,,,ERW_TRACEABILITY_WILLINGNESS,YES_WITH_HELP,0.85,0.85,,ERW MRV feasible with support
ADVR_D4_022,TRUE,10,D4,ADV_D4_008,EQUALS,DIFFICULT,,,ERW_TRACEABILITY_WILLINGNESS,DIFFICULT,0.45,0.8,,ERW MRV risk
ADVR_D4_023,TRUE,10,D4,ADV_D4_008,EQUALS,NO,,,ERW_TRACEABILITY_WILLINGNESS,NO,0.1,0.9,,ERW MRV not feasible
ADVR_D4_024,TRUE,9,D4,ADV_D4_009,EQUALS,YES,,,REGEN_COMMITMENT,YES,1,0.9,,Regen commitment yes
ADVR_D4_025,TRUE,9,D4,ADV_D4_009,EQUALS,DEPENDS,,,REGEN_COMMITMENT,DEPENDS,1,0.85,,Regen commitment conditional
ADVR_D4_026,TRUE,9,D4,ADV_D4_009,EQUALS,NO,,,REGEN_COMMITMENT,NO,1,0.95,,Regen commitment no
ADVR_D4_027,TRUE,10,D4,ADV_D4_010,EQUALS,YES,,,PROGRAM_CONSENT,YES,1,0.95,,Consent granted
ADVR_D4_028,TRUE,10,D4,ADV_D4_010,EQUALS,MAYBE,,,PROGRAM_CONSENT,MAYBE,1,0.9,,Consent conditional
ADVR_D4_029,TRUE,10,D4,ADV_D4_010,EQUALS,NO,,,PROGRAM_CONSENT,NO,1,0.95,,Consent denied (flag)
ADVR_D4_030,TRUE,10,D4,ADV_D4_011,EQUALS,YES,,,BIOCHAR_TRACEABILITY_WILLINGNESS,YES,1,0.9,,Biochar MRV ready
ADVR_D4_031,TRUE,10,D4,ADV_D4_011,EQUALS,YES_WITH_HELP,,,BIOCHAR_TRACEABILITY_WILLINGNESS,YES_WITH_HELP,0.85,0.85,,Biochar MRV feasible with support
ADVR_D4_032,TRUE,10,D4,ADV_D4_011,EQUALS,DIFFICULT,,,BIOCHAR_TRACEABILITY_WILLINGNESS,DIFFICULT,0.45,0.8,,Biochar MRV risk
ADVR_D4_033,TRUE,10,D4,ADV_D4_011,EQUALS,NO,,,BIOCHAR_TRACEABILITY_WILLINGNESS,NO,0.1,0.9,,Biochar MRV not feasible
ADVR_D5_001,TRUE,9,D5,ADV_D5_001,GREATER_EQUAL,,4,,YIELD_LEVEL,HIGH,0.9,0.9,,Good productivity
ADVR_D5_009,TRUE,9,D5,ADV_D5_001,BETWEEN,,2.5,4,YIELD_LEVEL,MEDIUM,0.7,0.9,,Moderate yield level
ADVR_D5_002,TRUE,9,D5,ADV_D5_001,LESS,,2.5,,YIELD_LEVEL,LOW,0.5,0.9,,Risk of yield decline concern
ADVR_D5_003,TRUE,9,D5,ADV_D5_002,LESS_EQUAL,,15000,,IRRIGATION_COST,LOW,0.9,0.85,,Low cost baseline (savings potential)
ADVR_D5_010,TRUE,9,D5,ADV_D5_002,BETWEEN,,15000,40000,IRRIGATION_COST,MEDIUM,0.75,0.85,,Moderate cost baseline
ADVR_D5_004,TRUE,9,D5,ADV_D5_002,GREATER,,40000,,IRRIGATION_COST,HIGH,0.95,0.85,,High cost baseline (high savings potential)
ADVR_D5_005,TRUE,8,D5,ADV_D5_003,EQUALS,FAMILY_ADEQUATE,,,LABOR_AVAILABILITY,ADEQUATE,1,0.9,,Can manage monitoring
ADVR_D5_011,TRUE,8,D5,ADV_D5_003,EQUALS,FAMILY_SOME,,,LABOR_AVAILABILITY,SOME,0.75,0.85,,Some labor available
ADVR_D5_012,TRUE,8,D5,ADV_D5_003,EQUALS,NEED_HIRE,,,LABOR_AVAILABILITY,NEED_HIRE,0.55,0.85,,Requires hired labor
ADVR_D5_006,TRUE,8,D5,ADV_D5_003,EQUALS,DIFFICULT,,,LABOR_AVAILABILITY,DIFFICULT,0.35,0.85,,Major constraint
ADVR_D5_008,TRUE,8,D5,ADV_D5_004,EQUALS,MORE_50K,,,INVESTMENT_CAPACITY,HIGH,0.9,0.9,,Can co-invest
ADVR_D5_013,TRUE,8,D5,ADV_D5_004,EQUALS,INR_25_50K,,,INVESTMENT_CAPACITY,MEDIUM_HIGH,0.75,0.9,,Good capacity
ADVR_D5_014,TRUE,8,D5,ADV_D5_004,EQUALS,INR_10_25K,,,INVESTMENT_CAPACITY,MEDIUM,0.6,0.9,,Moderate capacity
ADVR_D5_015,TRUE,8,D5,ADV_D5_004,EQUALS,LESS_10K,,,INVESTMENT_CAPACITY,LOW,0.4,0.85,,Low capacity
ADVR_D5_007,TRUE,8,D5,ADV_D5_004,EQUALS,NONE,,,INVESTMENT_CAPACITY,NONE,0.2,0.9,,Needs full subsidy
ADVR_D6_003,TRUE,9,D6,ADV_D6_001,LESS,,0.5,,SCALE_CARBON,SMALL,0.6,0.9,,Limited carbon potential
ADVR_D6_001,TRUE,9,D6,ADV_D6_001,GREATER_EQUAL,,2,,SCALE_CARBON,MEDIUM_PLUS,0.85,0.95,,Good carbon potential
ADVR_D6_002,TRUE,9,D6,ADV_D6_001,GREATER_EQUAL,,5,,SCALE_CARBON,LARGE,1,0.95,,High carbon potential
ADVR_D6_005,TRUE,10,D6,ADV_D6_002,EQUALS,ONE,,,RICE_SEASONS,ONE,0.7,0.95,,Single season carbon
ADVR_D6_004,TRUE,10,D6,ADV_D6_002,EQUALS,TWO,,,RICE_SEASONS,TWO,1,0.95,,Double carbon potential
ADVR_D6_006,TRUE,9,D6,ADV_D6_004,EQUALS,YES,,,PREVIOUS_CARBON,YES,0.4,0.9,,Check double-counting
ADVR_D6_007,TRUE,9,D6,ADV_D6_004,EQUALS,NO,,,PREVIOUS_CARBON,NO,1,0.95,,No conflict
ADVR_D6_008,TRUE,9,D6,ADV_D6_005,EQUALS,WITHIN_2_WEEKS,,,NEXT_SEASON_START,WITHIN_2_WEEKS,1,0.9,,Cohort scheduling: immediate window
ADVR_D6_009,TRUE,9,D6,ADV_D6_005,EQUALS,WITHIN_1_MONTH,,,NEXT_SEASON_START,WITHIN_1_MONTH,1,0.9,,Cohort scheduling: near-term
ADVR_D6_010,TRUE,9,D6,ADV_D6_005,EQUALS,IN_1_3_MONTHS,,,NEXT_SEASON_START,IN_1_3_MONTHS,1,0.85,,Cohort scheduling: medium-term
ADVR_D6_011,TRUE,9,D6,ADV_D6_005,EQUALS,IN_3_6_MONTHS,,,NEXT_SEASON_START,IN_3_6_MONTHS,1,0.85,,Cohort scheduling: later window
ADVR_D6_012,TRUE,9,D6,ADV_D6_005,EQUALS,NOT_SURE,,,NEXT_SEASON_START,NOT_SURE,1,0.8,,Cohort scheduling: uncertain (follow-up)
ADVR_I1_001,TRUE,7,I1,ADV_I1_002,EQUALS,GRADUATE,,,EDUCATION_LEVEL,GRADUATE,0.95,0.85,,High capacity
ADVR_I1_007,TRUE,7,I1,ADV_I1_002,EQUALS,SECONDARY,,,EDUCATION_LEVEL,SECONDARY,0.85,0.85,,Good capacity
ADVR_I1_008,TRUE,7,I1,ADV_I1_002,EQUALS,PRIMARY,,,EDUCATION_LEVEL,PRIMARY,0.7,0.8,,Moderate capacity
ADVR_I1_009,TRUE,7,I1,ADV_I1_002,EQUALS,LITERATE,,,EDUCATION_LEVEL,LITERATE,0.6,0.75,,Basic capacity
ADVR_I1_002,TRUE,7,I1,ADV_I1_002,EQUALS,ILLITERATE,,,EDUCATION_LEVEL,ILLITERATE,0.45,0.8,,Needs support person
ADVR_I1_003,TRUE,7,I1,ADV_I1_005,EQUALS,YES_MANY,,,INNOVATION_HISTORY,INNOVATOR,0.95,0.85,,Early adopter
ADVR_I1_010,TRUE,7,I1,ADV_I1_005,EQUALS,YES_FEW,,,INNOVATION_HISTORY,OPEN_TO_CHANGE,0.8,0.85,,Open to change
ADVR_I1_004,TRUE,7,I1,ADV_I1_005,EQUALS,NO,,,INNOVATION_HISTORY,TRADITIONAL,0.5,0.85,,Conservative
ADVR_I1_005,TRUE,8,I1,ADV_I1_004,EQUALS,YES_COMFORTABLE,,,RECORD_KEEPING,YES,1,0.9,,MRV ready
ADVR_I1_011,TRUE,8,I1,ADV_I1_004,EQUALS,YES_WITH_HELP,,,RECORD_KEEPING,YES_WITH_HELP,0.8,0.85,,MRV feasible with support
ADVR_I1_012,TRUE,8,I1,ADV_I1_004,EQUALS,DIFFICULT,,,RECORD_KEEPING,DIFFICULT,0.55,0.85,,MRV difficult; needs simplification
ADVR_I1_006,TRUE,8,I1,ADV_I1_004,EQUALS,NO,,,RECORD_KEEPING,NO,0.3,0.85,,Major MRV constraint
ADVR_I2_001,TRUE,9,I2,ADV_I2_002,EQUALS,YES,,,DAILY_MONITORING,YES,1,0.9,,Critical for AWD
ADVR_I2_003,TRUE,9,I2,ADV_I2_002,EQUALS,MOST_DAYS,,,DAILY_MONITORING,MOST_DAYS,0.85,0.85,,Acceptable monitoring frequency
ADVR_I2_002,TRUE,9,I2,ADV_I2_002,EQUALS,NO,,,DAILY_MONITORING,NO,0.5,0.85,,Major constraint
ADVR_I3_001,TRUE,7,I3,ADV_I3_003,EQUALS,NO_DEBT,,,DEBT_STATUS,NO_DEBT,1,0.85,,Best financial health
ADVR_I3_005,TRUE,7,I3,ADV_I3_003,EQUALS,MANAGEABLE,,,DEBT_STATUS,MANAGEABLE,0.8,0.85,,Good
ADVR_I3_006,TRUE,7,I3,ADV_I3_003,EQUALS,HIGH,,,DEBT_STATUS,HIGH,0.5,0.85,,Financial stress
ADVR_I3_002,TRUE,7,I3,ADV_I3_003,EQUALS,VERY_HIGH,,,DEBT_STATUS,VERY_HIGH,0.25,0.85,,High risk
ADVR_I3_003,TRUE,8,I3,ADV_I3_005,EQUALS,YES,,,COINVESTMENT_WILLING,YES,1,0.9,,Strong commitment
ADVR_I3_007,TRUE,8,I3,ADV_I3_005,EQUALS,MAYBE,,,COINVESTMENT_WILLING,MAYBE,0.7,0.85,,Conditional co-investment
ADVR_I3_004,TRUE,8,I3,ADV_I3_005,EQUALS,NO,,,COINVESTMENT_WILLING,NO,0.4,0.85,,Needs full subsidy
ADVR_I4_001,TRUE,7,I4,ADV_I4_003,EQUALS,HIGH,,,RISK_TOLERANCE,HIGH,0.95,0.85,,Early adopter
ADVR_I4_003,TRUE,7,I4,ADV_I4_003,EQUALS,MODERATE,,,RISK_TOLERANCE,MODERATE,0.75,0.85,,Follower
ADVR_I4_004,TRUE,7,I4,ADV_I4_003,EQUALS,LOW,,,RISK_TOLERANCE,LOW,0.55,0.85,,Risk averse
ADVR_I4_002,TRUE,7,I4,ADV_I4_003,EQUALS,VERY_LOW,,,RISK_TOLERANCE,VERY_LOW,0.35,0.85,,Very conservative
ADVR_I5_001,TRUE,7,I5,ADV_I5_001,EQUALS,YES,,,FARMER_GROUP_MEMBER,YES,0.9,0.85,,Collective support
ADVR_I5_002,TRUE,7,I5,ADV_I5_005,EQUALS,YES,,,TRAINER_WILLINGNESS,YES,0.95,0.8,,Peer trainer potential
ADVR_I5_003,TRUE,8,I5,ADV_I5_004,EQUALS,INTENSIVE,,,SUPPORT_LEVEL_GENERAL,INTENSIVE,0.8,0.85,,Preferred support level: high-touch
ADVR_I5_004,TRUE,8,I5,ADV_I5_004,EQUALS,MODERATE,,,SUPPORT_LEVEL_GENERAL,MODERATE,0.9,0.85,,Preferred support level: balanced
ADVR_I5_005,TRUE,8,I5,ADV_I5_004,EQUALS,MINIMAL,,,SUPPORT_LEVEL_GENERAL,MINIMAL,0.75,0.85,,Preferred support level: light-touch
ADVR_I5_006,TRUE,8,I5,ADV_I5_004,EQUALS,SELF,,,SUPPORT_LEVEL_GENERAL,SELF,0.6,0.8,,Preferred support level: self-managed
ADVR_D4_034,TRUE,10,D4,ADV_D4_006,EQUALS,YES,,,COMMITMENT_5YR,YES,1,0.95,,Meets AWD carbon 5yr commitment
ADVR_D4_035,TRUE,10,D4,ADV_D4_006,EQUALS,NO,,,COMMITMENT_5YR,NO,0.3,0.95,,Not eligible for AWD carbon
ADVR_D4_036,TRUE,10,D4,ADV_D4_006,EQUALS,UNSURE,,,COMMITMENT_5YR,UNSURE,0.6,0.85,,Conditional participant
ADVR_D4_037,TRUE,10,D4,ADV_D4_007,EQUALS,YES,,,BIO_NO_OPEN_BURNING_COMMIT,YES,1,0.9,,Biochar integrity commitment
ADVR_D4_038,TRUE,10,D4,ADV_D4_007,EQUALS,NO,,,BIO_NO_OPEN_BURNING_COMMIT,NO,0.1,0.9,,Biochar integrity risk
ADVR_D7_028,TRUE,8,D7,ADV_D7_008,EQUALS,YES,,,REGEN_WILLINGNESS,YES,0.9,0.8,,Willing to try new soil-health practices
ADVR_D7_029,TRUE,8,D7,ADV_D7_008,EQUALS,MAYBE,,,REGEN_WILLINGNESS,MAYBE,0.6,0.75,,Conditional willingness
ADVR_D7_030,TRUE,8,D7,ADV_D7_008,EQUALS,NO,,,REGEN_WILLINGNESS,NO,0.2,0.8,,Not willing
ADVR_D8_019,TRUE,8,D8,ADV_D8_005,EQUALS,YES_TRACTOR_TILL,,,ERW_INCORPORATION_ABILITY,STRONG,0.9,0.85,,Good incorporation
ADVR_D8_020,TRUE,8,D8,ADV_D8_005,EQUALS,YES_LIGHT_TILL,,,ERW_INCORPORATION_ABILITY,MODERATE,0.7,0.8,,Moderate incorporation
ADVR_D8_021,TRUE,8,D8,ADV_D8_005,EQUALS,NO_ZERO_TILL_ONLY,,,ERW_INCORPORATION_ABILITY,LOW,0.35,0.85,,Incorporation constrained
ADVR_D8_022,TRUE,8,D8,ADV_D8_005,EQUALS,UNSURE,,,ERW_INCORPORATION_ABILITY,UNSURE,0.45,0.75,,Needs planning
ADVR_D8_023,TRUE,7,D8,ADV_D8_006,EQUALS,RELIABLE,,,ERW_MOISTURE_RELIABILITY,RELIABLE,0.9,0.8,,Good moisture support
ADVR_D8_024,TRUE,7,D8,ADV_D8_006,EQUALS,SOMETIMES,,,ERW_MOISTURE_RELIABILITY,SOMETIMES,0.65,0.75,,Moderate moisture
