Question_ID,Dimension_ID,Dimension_Name,Sub_Factor,Sequence,Question_Text_EN,Question_Text_HI,Answer_Type,Unit,Help_Text_EN,Help_Text_HI,Verification_Method,Required_For_Pathway,Scoring_Impact,Default_Value,Validation_Rule,Photo_Required,Is_Active,Base_Priority,Version
ADV_D10_001,D10,Biomass & Biochar Farm Readiness,bio_feedstock_available,1,What biomass residue do you have available after harvest (per season)?,कटाई के बाद आपके पास प्रति सीजन कितना जैव-अवशेष उपलब्ध होता है?,categorical_direct,,"Include rice straw, wheat straw, husk, stalks, pruning, dung/cake.","धान पराली, गेहूं पराली, भूसी, डंठल, छंटाई, गोबर/कंडे शामिल करें।",FARMER_KNOWLEDGE,BIOCHAR,HIGH,,"bio_feedstock_available IN (HIGH,MEDIUM,LOW,NONE)",FALSE,TRUE,90,v1.0
ADV_D10_002,D10,Biomass & Biochar Farm Readiness,bio_residue_current_use,2,How do you currently use residues (straw/husk/stalks)?,आप वर्तमान में पराली/भूसी/डंठल का उपयोग कैसे करते हैं?,categorical_direct,,Select the main use of residues. Competing uses reduce biochar feasibility.,अवशेषों का मुख्य उपयोग चुनें। प्रतिस्पर्धी उपयोग बायोचार व्यवहार्यता घटाते हैं।,FARMER_KNOWLEDGE,BIOCHAR,HIGH,,"bio_residue_current_use IN (FODDER,BURN,INCORPORATE,SELL,COMPOST,OTHER)",FALSE,TRUE,85,v1.0
ADV_D10_003,D10,Biomass & Biochar Farm Readiness,bio_residue_divert_willing,3,Are you willing to divert a portion of residues for biochar production?,क्या आप कुछ अवशेष बायोचार बनाने के लिए देने को तैयार हैं?,yes_no_explain,,Answer honestly. This affects feasibility and carbon integrity.,ईमानदारी से उत्तर दें। यह व्यवहार्यता और कार्बन अखंडता को प्रभावित करता है।,FARMER_KNOWLEDGE,BIOCHAR,HIGH,,"bio_residue_divert_willing IN (YES,NO,DEPENDS)",FALSE,TRUE,85,v1.0
ADV_D10_004,D10,Biomass & Biochar Farm Readiness,bio_application_method,4,How can you apply biochar to the field?,आप बायोचार को खेत में कैसे डाल सकते हैं?,categorical_direct,,Best practice is mixing with FYM/compost and incorporating in topsoil.,सर्वोत्तम तरीका है गोबर खाद/कम्पोस्ट के साथ मिलाकर ऊपरी मिट्टी में मिलाना।,FARMER_KNOWLEDGE,BIOCHAR,MEDIUM,,"bio_application_method IN (MIX_WITH_MANURE,BROADCAST_AND_INCORPORATE,BAND_ROW,ONLY_TOPDRESS,NOT_SURE)",FALSE,TRUE,70,v1.0
ADV_D10_005,D10,Biomass & Biochar Farm Readiness,bio_priority_soil_problem,5,What is your biggest soil issue?,आपकी सबसे बड़ी मिट्टी समस्या क्या है?,categorical_direct,,"Helps target biochar use-case (water holding, fertility, acidity etc.).","बायोचार का उपयोग-लक्ष्य तय करने में मदद (जलधारण, उर्वरता, अम्लता आदि)।",FARMER_KNOWLEDGE,BIOCHAR,MEDIUM,,"bio_priority_soil_problem IN (LOW_WATER_HOLDING,LOW_FERTILITY,ACIDIC,SALINITY_HARDNESS,HARD_SOIL,NONE)",FALSE,TRUE,60,v1.0
ADV_D10_006,D10,Biomass & Biochar Farm Readiness,bio_application_method,6,How would you apply biochar to the field?,आप बायोचार को खेत में कैसे डालेंगे?,categorical_direct,,Best practice is mixing with FYM/compost and incorporating in topsoil.,सर्वोत्तम तरीका है गोबर खाद/कम्पोस्ट के साथ मिलाकर ऊपरी मिट्टी में मिलाना।,FARMER_KNOWLEDGE,BIOCHAR,MEDIUM,,"bio_application IN (MIX_WITH_MANURE,BROADCAST_AND_INCORPORATE,BAND_ROW,ONLY_TOPDRESS,NOT_SURE)",FALSE,TRUE,70,v1.1
ADV_D10_007,D10,Biomass & Biochar Farm Readiness,bio_soil_problem,7,What is your biggest soil issue that biochar might help?,आपकी सबसे बड़ी मिट्टी समस्या क्या है जिसमें बायोचार मदद कर सकता है?,categorical_direct,,"Helps target biochar use-case (water holding, fertility, acidity etc.).","बायोचार का उपयोग-लक्ष्य तय करने में मदद (जलधारण, उर्वरता, अम्लता आदि)।",FARMER_KNOWLEDGE,BIOCHAR,MEDIUM,,"bio_soil_problem IN (LOW_WATER_HOLDING,LOW_FERTILITY,ACIDIC,SALINITY_HARDNESS,HARD_SOIL,NONE)",FALSE,TRUE,60,v1.1
ADV_D10_008,D10,Biomass & Biochar Farm Readiness,bio_no_burning_confirm,8,Will you commit to NOT burning residues in the open if biochar pathway is adopted?,यदि बायोचार पाथवे अपनाया जाए तो क्या आप अवशेष खुले में न जलाने की प्रतिबद्धता देंगे?,yes_no,,This is critical for carbon integrity and local air quality.,यह कार्बन अखंडता और स्थानीय वायु गुणवत्ता के लिए महत्वपूर्ण है।,FARMER_KNOWLEDGE,BIOCHAR,HIGH,,"bio_no_burning IN (YES,NO)",FALSE,TRUE,85,v1.1
ADV_D10_009,D10,Biomass & Biochar Farm Readiness,bio_traceability,9,"Can you keep receipts/dispatch notes and record biochar application date, area, and quantity?","क्या आप रसीद/डिस्पैच नोट और बायोचार आवेदन तिथि, क्षेत्र, और मात्रा का रिकॉर्ड रख सकते हैं?",categorical_direct,,Required for carbon-grade biochar MRV.,कार्बन-ग्रेड बायोचार MRV के लिए आवश्यक है।,RECORDS,BIOCHAR,HIGH,,"bio_traceability IN (YES,YES_WITH_HELP,DIFFICULT,NO)",FALSE,TRUE,80,v1.1
ADV_D10_010,D10,Biomass & Biochar Farm Readiness,bio_overall_willingness,10,Overall how willing are you to try the biochar pathway on your farm?,कुल मिलाकर आप अपने खेत पर बायोचार पाथवे आजमाने के लिए कितने इच्छुक हैं?,categorical_direct,,This captures your overall commitment to the biochar approach.,यह बायोचार दृष्टिकोण के प्रति आपकी समग्र प्रतिबद्धता दर्शाता है।,FARMER_KNOWLEDGE,BIOCHAR,HIGH,,"bio_willingness IN (YES_ENTHUSIASTIC,YES_CAUTIOUS,DEPENDS,NO)",FALSE,TRUE,85,v1.1
ADV_D2_001,D2,Infrastructure & Access,irrigation_source,1,What is your PRIMARY irrigation source?,आपका प्राथमिक सिंचाई स्रोत क्या है?,categorical_direct,,Select the source you use most frequently during rice season.,चावल के मौसम में सबसे अधिक उपयोग किए जाने वाले स्रोत का चयन करें।,FARMER_KNOWLEDGE,ALL,HIGH,,"irrigation_source IN (OWN_TUBE_ELEC,OWN_TUBE_DIESEL,SHARED_TUBE,CANAL,RAINFED)",FALSE,TRUE,100,v1.0
ADV_D2_002,D2,Infrastructure & Access,irrigation_control,2,Who controls WHEN you irrigate your field?,आप अपने खेत को कब सींचते हैं यह कौन नियंत्रित करता है?,categorical_direct,,Control over timing is critical for AWD practice.,समय पर नियंत्रण AWD प्रथा के लिए महत्वपूर्ण है।,FARMER_KNOWLEDGE,AWD,HIGH,,"control IN (FULL_CONTROL,SHARED_SCHEDULE,CANAL_SCHEDULE,NO_CONTROL)",FALSE,TRUE,100,v1.0
ADV_D2_003,D2,Infrastructure & Access,bund_condition,3,What is the condition of your field bunds (meds)?,आपके खेत की मेड़ों की स्थिति क्या है?,categorical_direct,,"Good bunds are essential to maintain water levels. Check for cracks, holes, rat burrows.","पानी के स्तर को बनाए रखने के लिए अच्छी मेड़ें आवश्यक हैं। दरारें, छेद, चूहे के बिल देखें।",VISUAL_OBSERVATION,AWD,HIGH,,"bund IN (EXCELLENT,GOOD,MINOR_LEAKS,POOR,NO_BUNDS)",TRUE,TRUE,95,v1.0
ADV_D2_004,D2,Infrastructure & Access,field_leveling,4,Is your field leveled?,क्या आपका खेत समतल है?,categorical_direct,,Laser leveling is best. Good leveling helps maintain uniform water depth.,लेजर लेवलिंग सबसे अच्छी है। अच्छी लेवलिंग एक समान पानी की गहराई बनाए रखने में मदद करती है।,VISUAL_OBSERVATION,AWD,MEDIUM,,"leveling IN (LASER_LEVELED,WELL_LEVELED,MODERATE,UNEVEN)",FALSE,TRUE,75,v1.0
ADV_D2_005,D2,Infrastructure & Access,water_depth_measure,5,"Can you measure water depth in your field? (e.g., using pani pipe/tube)","क्या आप अपने खेत में पानी की गहराई माप सकते हैं? (जैसे, पानी पाइप/ट्यूब का उपयोग करके)",yes_no_explain,,AWD requires monitoring water depth. Simple plastic tube works.,AWD के लिए पानी की गहराई की निगरानी आवश्यक है। साधारण प्लास्टिक ट्यूब काम करती है।,FARMER_KNOWLEDGE,AWD,HIGH,,"measure IN (YES,NO,NEED_TRAINING)",FALSE,TRUE,90,v1.0
ADV_D2_006,D2,Infrastructure & Access,power_type,6,What type of power is used for irrigation pump?,सिंचाई पंप के लिए किस प्रकार की शक्ति का उपयोग किया जाता है?,categorical_direct,,Electric is cheaper per hour but diesel gives more flexibility.,बिजली प्रति घंटा सस्ती है लेकिन डीजल अधिक लचीलापन देता है।,VISUAL_OBSERVATION,AWD,LOW,,"power IN (ELECTRIC_GRID,DIESEL,SOLAR,NOT_APPLICABLE)",FALSE,TRUE,50,v1.0
ADV_D2_007,D2,Infrastructure & Access,erw_source_distance,7,Is there a quarry/stone crusher/cement plant source of rock dust within 50 km?,क्या 50 किमी के भीतर खदान/स्टोन क्रशर/सीमेंट प्लांट से रॉक डस्ट मिल सकता है?,categorical_direct,km,Closer source reduces transport cost and makes repeat application feasible.,निकट स्रोत परिवहन लागत घटाता है और दोहराव आवेदन संभव बनाता है।,FARMER_KNOWLEDGE,ERW,HIGH,,"erw_source_distance IN (YES_WITHIN_10,YES_10_50,NO,DONT_KNOW)",FALSE,TRUE,90,v1.0
ADV_D2_008,D2,Infrastructure & Access,bio_pyrolysis_access,8,Do you have access to a biochar producer/pyrolysis unit within 20 km?,क्या 20 किमी के भीतर बायोचार निर्माता/पाइरोलिसिस यूनिट उपलब्ध है?,categorical_direct,km,Distance to nearest unit affects cost and regular supply.,निकटतम यूनिट की दूरी लागत और नियमित आपूर्ति को प्रभावित करती है।,FARMER_KNOWLEDGE,BIOCHAR,HIGH,,"bio_pyrolysis_access IN (YES_WITHIN_5,YES_5_20,NO,DONT_KNOW)",FALSE,TRUE,80,v1.0
ADV_D2_009,D2,Infrastructure & Access,bio_sourcing_mode,9,"Would you prefer to (A) buy biochar, (B) produce via local unit, or (C) on-farm small kiln?","आप (A) खरीदना, (B) स्थानीय यूनिट से बनवाना, या (C) खेत पर छोटा भट्ठा—क्या पसंद करेंगे?",categorical_direct,,Choose the most realistic option for you.,अपने लिए सबसे यथार्थ विकल्प चुनें।,FARMER_KNOWLEDGE,BIOCHAR,MEDIUM,,"bio_sourcing_mode IN (BUY,LOCAL_UNIT,ON_FARM,UNSURE)",FALSE,TRUE,65,v1.0
ADV_D2_010,D2,Infrastructure & Access,market_distance,10,How far is the nearest input/output market from your field?,आपके खेत से निकटतम इनपुट/आउटपुट बाजार कितनी दूर है?,numeric_direct,km,Measure road distance to where you buy inputs and sell produce.,जहाँ आप इनपुट खरीदते हैं और उपज बेचते हैं वहाँ की सड़क दूरी मापें।,FARMER_KNOWLEDGE,ALL,LOW,,distance >= 0 AND distance <= 100,FALSE,TRUE,40,v1.0
ADV_D3_001,D3,Social & Institutional Context,kvk_distance,1,How far is the nearest KVK (Krishi Vigyan Kendra) or extension center?,निकटतम KVK (कृषि विज्ञान केंद्र) या विस्तार केंद्र कितनी दूर है?,numeric_direct,km,Measure road distance. KVKs provide training and technical support.,सड़क दूरी मापें। KVK प्रशिक्षण और तकनीकी सहायता प्रदान करते हैं।,FARMER_KNOWLEDGE,ALL,MEDIUM,,distance >= 0 AND distance <= 100,FALSE,TRUE,60,v1.0
ADV_D3_002,D3,Social & Institutional Context,extension_contact,2,How many times did extension agents contact you in the LAST YEAR?,पिछले वर्ष में विस्तार एजेंटों ने आपसे कितनी बार संपर्क किया?,categorical_direct,times,"Count visits, calls, SMS, training invitations from government or NGO extension.","सरकारी या एनजीओ विस्तार से मुलाकातें, कॉल, एसएमएस, प्रशिक्षण आमंत्रण गिनें।",FARMER_KNOWLEDGE,ALL,MEDIUM,,"contact IN (FREQUENT,MODERATE,RARE,NONE)",FALSE,TRUE,55,v1.0
ADV_D3_003,D3,Social & Institutional Context,awd_prevalence,3,What percentage of farmers in your village practice AWD (water saving in rice)?,आपके गाँव में कितने प्रतिशत किसान AWD (चावल में पानी की बचत) का अभ्यास करते हैं?,categorical_direct,%,Estimate how common AWD or similar water-saving practices are.,अनुमान लगाएं कि AWD या इसी तरह की पानी बचत प्रथाएं कितनी सामान्य हैं।,FARMER_KNOWLEDGE,AWD,MEDIUM,,"prevalence IN (COMMON,SOME,FEW,NONE)",FALSE,TRUE,70,v1.0
ADV_D3_004,D3,Social & Institutional Context,peer_farmers,4,Do you know other farmers nearby who practice AWD or similar methods?,क्या आप आस-पास के अन्य किसानों को जानते हैं जो AWD या समान विधियों का अभ्यास करते हैं?,yes_no_count,,Peer learning is powerful. Name count shows network strength.,सहकर्मी सीखना शक्तिशाली है। नाम गिनती नेटवर्क शक्ति दर्शाती है।,FARMER_KNOWLEDGE,AWD,LOW,,"peer IN (YES_MANY,YES_FEW,NO)",FALSE,TRUE,50,v1.0
ADV_D3_005,D3,Social & Institutional Context,farmer_reputation,5,Are you considered a progressive/innovative farmer in your community?,क्या आपको अपने समुदाय में एक प्रगतिशील/अभिनव किसान माना जाता है?,categorical_direct,,Leaders help spread practices. Be honest - others' perception matters.,नेता प्रथाओं को फैलाने में मदद करते हैं। ईमानदार रहें - दूसरों की धारणा मायने रखती है।,FARMER_KNOWLEDGE,ALL,LOW,,"reputation IN (WELL_KNOWN,KNOWN,AVERAGE,NOT_KNOWN)",FALSE,TRUE,45,v1.0
ADV_D4_001,D4,Legal & Baseline Eligibility,land_ownership,1,What is your land ownership status?,आपकी भूमि स्वामित्व स्थिति क्या है?,categorical_direct,,Clear ownership or long-term lease (5+ years) is needed for carbon projects.,कार्बन परियोजनाओं के लिए स्पष्ट स्वामित्व या दीर्घकालिक पट्टा (5+ वर्ष) आवश्यक है।,RECORDS,ALL,HIGH,,"ownership IN (OWNED_CLEAR,OWNED_DISPUTED,LEASED_LONG,LEASED_SHORT,SHARECROP)",TRUE,TRUE,100,v1.0
ADV_D4_002,D4,Legal & Baseline Eligibility,land_documents,2,"Do you have land ownership documents (patta, registry, lease agreement)?","क्या आपके पास भूमि स्वामित्व दस्तावेज (पट्टा, रजिस्ट्री, पट्टा समझौता) हैं?",yes_no,,Documents are required to prove eligibility and for carbon credit registration.,पात्रता साबित करने और कार्बन क्रेडिट पंजीकरण के लिए दस्तावेज आवश्यक हैं।,RECORDS,ALL,HIGH,,"documents IN (YES,NO)",TRUE,TRUE,95,v1.0
ADV_D4_003,D4,Legal & Baseline Eligibility,current_water_mgmt,3,What is your CURRENT water management practice in rice?,चावल में आपकी वर्तमान जल प्रबंधन प्रथा क्या है?,categorical_direct,,Be honest. Carbon credits require CHANGE from baseline (continuous flooding).,ईमानदार रहें। कार्बन क्रेडिट के लिए आधार रेखा (निरंतर जलभराव) से बदलाव की आवश्यकता है।,FARMER_KNOWLEDGE,AWD,HIGH,,"current_practice IN (CONTINUOUS_FLOOD,INTERMITTENT,AWD_ALREADY,AEROBIC,RAINFED)",FALSE,TRUE,100,v1.0
ADV_D4_004,D4,Legal & Baseline Eligibility,practice_years,4,How many years have you been practicing your CURRENT water management method?,आप कितने वर्षों से अपनी वर्तमान जल प्रबंधन विधि का अभ्यास कर रहे हैं?,numeric_direct,years,Needed to establish baseline. Carbon credits require additionality (new practice).,आधार रेखा स्थापित करने के लिए आवश्यक। कार्बन क्रेडिट के लिए अतिरिक्तता (नई प्रथा) की आवश्यकता है।,FARMER_KNOWLEDGE,AWD,HIGH,,years >= 0 AND years <= 50,FALSE,TRUE,90,v1.0
ADV_D4_005,D4,Legal & Baseline Eligibility,legal_restrictions,5,Are there any legal restrictions on changing your water management practice?,क्या आपकी जल प्रबंधन प्रथा को बदलने पर कोई कानूनी प्रतिबंध हैं?,yes_no_explain,,"Check for water use rules, canal schedules, government mandates.","जल उपयोग नियम, नहर कार्यक्रम, सरकारी आदेश जांचें।",FARMER_KNOWLEDGE,AWD,MEDIUM,,"restriction IN (YES,NO,UNSURE)",FALSE,TRUE,75,v1.0
ADV_D4_006,D4,Legal & Baseline Eligibility,commitment_5yr,6,Are you willing to commit to the new practice for at least 5 years?,क्या आप कम से कम 5 वर्षों के लिए नई प्रथा अपनाने को प्रतिबद्ध हैं?,categorical_direct,,Carbon projects require multi-year commitment for credibility and permanence.,विश्वसनीयता और स्थायित्व के लिए कार्बन परियोजनाओं को बहु-वर्षीय प्रतिबद्धता की आवश्यकता है।,FARMER_KNOWLEDGE,AWD,HIGH,,"commitment IN (YES,NO,UNSURE)",FALSE,TRUE,90,v1.1
ADV_D4_007,D4,Legal & Baseline Eligibility,bio_no_open_burning,7,"If biochar pathway is considered, will you commit to avoiding open burning of residues?","यदि बायोचार पाथवे पर विचार हो, तो क्या आप अवशेष खुले में न जलाने की प्रतिबद्धता देंगे?",yes_no,,Open burning avoidance is critical for biochar carbon integrity.,बायोचार कार्बन अखंडता के लिए खुले में जलाने से बचना महत्वपूर्ण है।,FARMER_KNOWLEDGE,BIOCHAR,HIGH,,"bio_no_open_burning IN (YES,NO)",FALSE,TRUE,80,v1.1
ADV_D4_008,D4,Legal & Baseline Eligibility,erw_traceability_willingness,8,Can you keep purchase receipts and record application dates/area for rock dust (ERW)?,क्या आप ERW रॉक डस्ट के लिए खरीद रसीद और आवेदन तिथि/क्षेत्र का रिकॉर्ड रख सकते हैं?,categorical_direct,,Receipts + dates + area are required for ERW verification and MRV.,ERW सत्यापन और MRV के लिए रसीद + तिथि + क्षेत्र आवश्यक हैं।,RECORDS,ERW,HIGH,,"erw_traceability IN (YES,YES_WITH_HELP,DIFFICULT,NO)",FALSE,TRUE,80,v1.1
ADV_D5_001,D5,Economic Viability,rice_yield,1,What is your typical rice yield in the LAST 3 YEARS average?,पिछले 3 वर्षों की औसत आपकी विशिष्ट चावल उपज क्या है?,numeric_direct,t/ha,Convert quintals to tonnes if needed (1 tonne = 10 quintals). Average across years.,यदि आवश्यक हो तो क्विंटल को टन में बदलें (1 टन = 10 क्विंटल)। वर्षों में औसत लें।,FARMER_KNOWLEDGE,AWD,HIGH,,yield >= 0 AND yield <= 15,FALSE,TRUE,90,v1.0
ADV_D5_002,D5,Economic Viability,irrigation_cost,2,What is your total irrigation cost per rice season?,प्रति चावल सीजन आपकी कुल सिंचाई लागत क्या है?,numeric_direct,INR/ha,"Include electricity/diesel, pump maintenance, water charges. Per hectare.","बिजली/डीजल, पंप रखरखाव, पानी शुल्क शामिल करें। प्रति हेक्टेयर।",FARMER_KNOWLEDGE,AWD,HIGH,,cost >= 0 AND cost <= 100000,FALSE,TRUE,85,v1.0
ADV_D5_003,D5,Economic Viability,labor_availability,3,Do you have adequate family labor for DAILY monitoring during critical periods?,क्या आपके पास महत्वपूर्ण अवधि के दौरान दैनिक निगरानी के लिए पर्याप्त पारिवारी श्रम है?,categorical_direct,,AWD requires checking water depth every 1-3 days during key stages.,AWD के लिए प्रमुख चरणों के दौरान हर 1-3 दिनों में पानी की गहराई की जांच आवश्यक है।,FARMER_KNOWLEDGE,AWD,MEDIUM,,"labor IN (FAMILY_ADEQUATE,FAMILY_SOME,NEED_HIRE,DIFFICULT)",FALSE,TRUE,70,v1.0
ADV_D5_004,D5,Economic Viability,investment_capacity,4,"What is your available investment capacity for new equipment (pipes, tools)?","नए उपकरण (पाइप, औजार) के लिए आपकी उपलब्ध निवेश क्षमता क्या है?",categorical_direct,INR,"Initial AWD setup may need ₹2,000-10,000 for pipes, measurement tools.","प्रारंभिक AWD सेटअप के लिए पाइप, माप उपकरण के लिए ₹2,000-10,000 की आवश्यकता हो सकती है।",FARMER_KNOWLEDGE,AWD,MEDIUM,,"invest IN (MORE_50K,INR_25_50K,INR_10_25K,LESS_10K,NONE)",FALSE,TRUE,65,v1.0
ADV_D5_005,D5,Economic Viability,credit_access,5,"How easy is it for you to access credit (bank loan, KCC, moneylender)?","आपके लिए ऋण (बैंक ऋण, KCC, साहूकार) तक पहुंचना कितना आसान है?",categorical_direct,,Credit helps buffer risk during transition period.,ऋण संक्रमण अवधि के दौरान जोखिम को कम करने में मदद करता है।,FARMER_KNOWLEDGE,ALL,LOW,,"access IN (EASY,MODERATE,DIFFICULT,NO_ACCESS)",FALSE,TRUE,50,v1.0
ADV_D5_006,D5,Economic Viability,erw_transport_spread_feasibility,6,Can you transport and spread 1–5 tonnes/ha of material?,क्या आप 1–5 टन/हेक्टेयर सामग्री ढोकर खेत में फैला सकते हैं?,categorical_direct,,"Answer based on your labor, vehicle, and local hiring options.","अपने श्रम, वाहन, और स्थानीय मजदूरी उपलब्धता के आधार पर उत्तर दें।",FARMER_KNOWLEDGE,ERW,HIGH,,"erw_transport_spread_feasibility IN (EASY,POSSIBLE_WITH_SUPPORT,DIFFICULT,NOT_POSSIBLE)",FALSE,TRUE,85,v1.0
ADV_D6_001,D6,Carbon Potential & Program Timing,total_area,1,What is your TOTAL rice area where you will practice AWD?,आपका कुल चावल क्षेत्र क्या है जहाँ आप AWD का अभ्यास करेंगे?,numeric_direct,ha,Enter actual measurement in hectares. Include all rice plots.,हेक्टेयर में वास्तविक माप दर्ज करें। सभी चावल भूखंड शामिल करें।,FARMER_KNOWLEDGE,AWD,HIGH,,area > 0 AND area <= 100,FALSE,TRUE,95,v1.0
ADV_D6_002,D6,Carbon Potential & Program Timing,rice_seasons,2,How many flooded rice seasons do you have per year?,आपके पास प्रति वर्ष कितने जलमग्न चावल सीजन हैं?,categorical_direct,seasons,Count only flooded/irrigated rice. Upland rice doesn't qualify for AWD.,केवल जलमग्न/सिंचित चावल गिनें। ऊंची जमीन का चावल AWD के लिए योग्य नहीं है।,FARMER_KNOWLEDGE,AWD,HIGH,,"seasons IN (ONE,TWO,THREE)",FALSE,TRUE,80,v1.0
ADV_D6_003,D6,Carbon Potential & Program Timing,expansion_plan,3,Do you plan to EXPAND AWD to more area in next 3 years?,क्या आप अगले 3 वर्षों में अधिक क्षेत्र में AWD का विस्तार करने की योजना बना रहे हैं?,yes_no_area,,Growth potential matters for project scaling.,परियोजना स्केलिंग के लिए विकास क्षमता मायने रखती है।,FARMER_KNOWLEDGE,AWD,LOW,,"expansion IN (YES,NO,UNSURE)",FALSE,TRUE,40,v1.0
